generation;fitness;q1;q2;home_venue;fitness_sum
494;4028233;1705000;1425000;130000;495523163
495;4028233;1705000;1425000;130000;501328908
496;4028233;1705000;1425000;130000;494930059
497;4028233;1705000;1425000;130000;492412588
498;4028233;1705000;1425000;130000;501717314
499;4028233;1705000;1425000;130000;495198701
500;4028233;1705000;1425000;130000;494454224
501;4028233;1705000;1425000;130000;493681810
502;4028233;1705000;1425000;130000;484367444
503;4028233;1705000;1425000;130000;493784902
504;4028233;1705000;1425000;130000;504714770
505;4028233;1705000;1425000;130000;508487451
506;4028233;1705000;1425000;130000;495704679
507;4028233;1705000;1425000;130000;482565465
508;4028233;1705000;1425000;130000;477409562
509;4028233;1705000;1425000;130000;502748321
510;4028233;1705000;1425000;130000;500895788
511;4028233;1705000;1425000;130000;492981560
512;4028233;1705000;1425000;130000;505105998
513;4028233;1705000;1425000;130000;498367452
514;4028233;1705000;1425000;130000;495879051
515;4028233;1705000;1425000;130000;506495708
516;4028233;1705000;1425000;130000;496779139
517;4028233;1705000;1425000;130000;485824544
518;4028233;1705000;1425000;130000;492027069
519;4028233;1705000;1425000;130000;489626149
520;4028233;1705000;1425000;130000;485756302
521;3998144;1690000;1410000;140000;482314415
522;3998144;1690000;1410000;140000;487475870
523;3998144;1690000;1410000;140000;493827218
524;3998144;1690000;1410000;140000;495611040
525;3984923;1700000;1345000;155000;491136526
526;3984923;1700000;1345000;155000;490117819
527;3984923;1700000;1345000;155000;481032389
528;3984923;1700000;1345000;155000;475243501
529;3984923;1700000;1345000;155000;480359368
530;3984923;1700000;1345000;155000;484256962
531;3984923;1700000;1345000;155000;488279871
532;3984923;1700000;1345000;155000;484210420
533;3984923;1700000;1345000;155000;480414843
534;3984923;1700000;1345000;155000;475565337
535;3984923;1700000;1345000;155000;471571793
536;3984923;1700000;1345000;155000;475714301
537;3984923;1700000;1345000;155000;482386758
538;3984923;1700000;1345000;155000;484455779
539;3984923;1700000;1345000;155000;483279806
